"date","GOOG_price","TSLA_price","FB_price"
2022-04-01,2814,1084.589966,224.850006
2022-04-04,2872.850098,1145.449951,233.889999
2022-04-05,2821.26001,1091.26001,231.839996
2022-04-06,2743.52002,1045.76001,223.300003
2022-04-07,2729.300049,1057.26001,222.949997
2022-04-08,2680.209961,1025.48999,222.330002
2022-04-11,2595.929932,975.929993,216.460007
2022-04-12,2567.48999,986.950012,214.139999
2022-04-13,2605.719971,1022.369995,214.990005
2022-04-14,2545.060059,985,210.179993
2022-04-15,2545.060059,985,210.179993
2022-04-18,2559.219971,1004.289978,210.770004
2022-04-19,2610.620117,1028.150024,217.309998
2022-04-20,2564.909912,977.200012,200.419998
2022-04-21,2498.75,1008.780029,188.070007
2022-04-22,2392.280029,1005.049988,184.110001
2022-04-25,2465,998.02002,186.990005
2022-04-26,2390.120117,876.419983,180.949997
2022-04-27,2300.409912,881.51001,174.949997
2022-04-28,2388.22998,877.51001,205.729996
2022-04-29,2299.330078,870.76001,200.470001
