date,AAPL,INTC,MSFT
2022-07-06,142.268158,35.697334,264.237762
2022-07-07,145.682526,36.807144,266.411499
2022-07-08,146.36937,36.662384,265.677032
2022-07-11,144.209259,35.89999,262.550354
2022-07-12,145.194763,35.909641,251.790665
2022-07-13,144.826447,35.909641,250.847717
2022-07-14,147.792862,36.39217,252.197647
2022-07-15,149.485092,37.270367,254.818085
2022-07-18,146.399246,37.357224,252.366364
2022-07-19,150.311325,38.814453,257.607269
2022-07-20,152.34201,39.142574,260.326965
2022-07-21,154.641479,39.190823,262.87793
2022-07-22,153.387222,37.830101,258.431061
2022-07-25,152.252426,37.791496,256.912445
2022-07-26,150.9086,37.598484,250.033768
2022-07-27,156.074905,38.775852,266.749023
2022-07-28,156.63237,38.322273,274.362183
2022-07-29,161.768814,35.041096,278.660126
2022-08-01,160.773376,35.668373,275.950348
2022-08-02,159.280212,34.751575,272.783997
2022-08-03,165.37233,35.243755,280.377319
2022-08-04,165.053772,34.76123,281.548553
2022-08-05,164.824509,34.498035,280.814026
2022-08-08,164.346024,34.488289,278.243225
2022-08-09,164.395874,33.649963,280.208557
2022-08-10,168.702148,34.478539,287.017731
2022-08-11,167.954529,34.692997,284.893585
2022-08-12,171.553055,35.19989,289.747375
2022-08-15,172.639587,35.424091,291.295807
2022-08-16,172.480103,35.27787,290.541443
2022-08-17,173.99527,34.878204,289.775543
2022-08-18,173.596527,35.287621,288.631622
2022-08-19,170.974884,34.488289,284.632935
2022-08-22,167.037445,32.987099,276.277466
2022-08-23,166.698517,33.09433,274.974426
2022-08-24,166.997574,33.006596,274.327881
2022-08-25,169.489624,34.010635,277.371643
2022-08-26,163.100006,32.519199,266.668671
2022-08-29,160.867111,32.109787,263.823853
2022-08-30,158.404968,31.446922,261.575806
2022-08-31,156.720337,31.115494,260.083771
2022-09-01,157.457993,30.959526,259.01944
2022-09-02,155.314819,30.433134,254.702454
2022-09-06,154.038895,29.594812,251.907349
2022-09-07,155.464355,29.877502,256.72171
2022-09-08,153.969116,29.974981,257.149414
2022-09-09,156.869858,30.667086,263.057922
2022-09-12,162.910599,30.764566,265.236298
2022-09-13,153.351074,28.551779,250.654053
2022-09-14,154.816406,28.444551,250.882813
2022-09-15,151.885757,28.113121,244.079086
2022-09-16,150.221069,28.50304,243.442474
2022-09-19,153.989044,28.697998,243.223633
2022-09-20,156.401352,28.230095,241.164612
2022-09-21,153.231461,27.752447,237.683167
2022-09-22,152.254593,27.362528,239.702393
2022-09-23,149.95192,26.826391,236.65863
2022-09-26,150.290848,26.290251,236.191116
2022-09-27,151.277695,26.212269,235.156631
2022-09-28,149.363785,26.446218,239.791946
2022-09-29,142.027176,25.715122,236.240845
2022-09-30,137.760773,25.120499,231.665237
2022-10-03,141.997284,26.290251,239.463669
2022-10-04,145.635681,27.001854,247.560516
2022-10-05,145.934723,26.943365,247.878815
2022-10-06,144.967804,26.494959,245.481598
2022-10-07,139.644775,25.071756,232.998154
2022-10-10,139.97374,24.564863,228.034592
2022-10-11,138.5383,24.408895,224.214951
2022-10-12,137.90033,24.691587,224.553146
2022-10-13,142.535568,25.754114,232.998154
2022-10-14,137.940216,25.256968,227.348251
2022-10-17,141.957413,25.754114,236.270706
2022-10-18,143.293152,25.217976,237.23555
2022-10-19,143.402802,25.3447,235.226257
2022-10-20,142.934296,25.422684,234.89801
2022-10-21,146.801956,26.290251,240.836349
2022-10-24,148.975021,26.494959,245.939163
2022-10-25,151.85585,26.719162,249.331085
2022-10-26,148.875351,26.524202,230.093628
2022-10-27,144.339813,25.607895,225.547852
2022-10-28,155.245056,28.337324,234.619492
2022-10-31,152.852676,27.713455,230.899323
2022-11-01,150.171219,27.586731,226.960327
2022-11-02,144.569077,26.72891,218.933105
2022-11-03,138.438629,26.699665,213.11412
2022-11-04,138.169037,27.860523,220.216263
2022-11-07,138.708206,28.067993,226.661911
2022-11-08,139.287338,28.13715,227.656616
2022-11-09,134.664383,27.188709,223.319717
2022-11-10,146.646088,29.401743,241.691803
2022-11-11,149.471771,30.063677,245.799896
2022-11-14,148.05394,29.98464,240.269379
