日期,收市,開市,高,低,成交量,升跌（%）
2020/5/4,"1,701.69","1,697.26","1,712.00","1,690.96",,0.08%
2020/5/5,"1,707.17","1,701.78","1,712.60","1,691.13",,0.32%
2020/5/6,"1,685.88","1,705.77","1,707.85","1,681.34",,-1.25%
2020/5/7,"1,717.94","1,686.08","1,722.02","1,681.96",,1.90%
2020/5/8,"1,702.65","1,717.46","1,724.56","1,701.61",,-0.89%
2020/5/11,"1,697.35","1,703.76","1,713.67","1,691.56",,-0.31%
2020/5/12,"1,702.72","1,696.25","1,711.04","1,692.28",,0.32%
2020/5/13,"1,715.99","1,701.21","1,718.33","1,697.92",,0.78%
2020/5/14,"1,730.65","1,715.01","1,737.34","1,710.39",,0.85%
2020/5/15,"1,743.00","1,731.13","1,753.25","1,728.52",,0.71%
2020/5/18,"1,732.32","1,742.93","1,764.81","1,726.26",,-0.61%
2020/5/19,"1,745.11","1,733.37","1,748.77","1,725.83",,0.74%
2020/5/20,"1,749.50","1,744.44","1,754.08","1,740.91",,0.25%
2020/5/21,"1,726.34","1,750.18","1,750.64","1,717.56",,-1.32%
2020/5/22,"1,736.07","1,725.26","1,741.51","1,724.29",,0.56%
2020/5/25,"1,729.57","1,734.73","1,735.57","1,720.47",,-0.37%
2020/5/26,"1,712.45","1,729.65","1,736.29","1,708.31",,-0.99%
2020/5/27,"1,709.25","1,712.03","1,715.77","1,693.60",,-0.19%
2020/5/28,"1,719.40","1,709.68","1,727.69","1,707.19",,0.59%
2020/5/29,"1,728.30","1,721.70","1,738.99","1,713.79",,0.52%
2020/6/1,"1,740.34","1,736.42","1,744.52","1,727.03",,0.70%
2020/6/2,"1,727.97","1,740.93","1,745.54","1,721.52",,-0.71%
2020/6/3,"1,698.63","1,728.97","1,732.92","1,690.01",,-1.70%
2020/6/4,"1,711.84","1,699.11","1,722.22","1,697.40",,0.78%
2020/6/5,"1,685.83","1,711.20","1,716.39","1,670.75",,-1.52%
2020/6/8,"1,695.47","1,684.16","1,701.27","1,677.61",,0.57%
2020/6/9,"1,714.57","1,700.25","1,720.75","1,691.92",,1.13%
2020/6/10,"1,737.10","1,714.33","1,740.29","1,708.83",,1.31%
2020/6/11,"1,727.51","1,737.11","1,744.72","1,721.34",,-0.55%
2020/6/12,"1,730.80","1,728.32","1,743.59","1,723.12",,0.19%
2020/6/15,"1,725.53","1,732.35","1,734.78","1,704.76",,-0.30%
2020/6/16,"1,727.46","1,725.79","1,733.06","1,715.93",,0.11%
2020/6/17,"1,727.04","1,727.34","1,730.62","1,713.37",,-0.02%
2020/6/18,"1,722.99","1,725.57","1,736.87","1,717.28",,-0.23%
2020/6/19,"1,743.62","1,723.16","1,745.68","1,721.36",,1.20%
2020/6/22,"1,755.44","1,749.00","1,763.82","1,743.78",,0.68%
2020/6/23,"1,767.54","1,756.03","1,771.69","1,747.90",,0.69%
2020/6/24,"1,762.43","1,769.09","1,780.06","1,761.09",,-0.29%
2020/6/25,"1,761.82","1,759.76","1,768.84","1,755.23",,-0.03%
2020/6/26,"1,771.47","1,762.35","1,772.36","1,748.04",,0.55%
2020/6/29,"1,772.28","1,773.27","1,775.86","1,766.07",,0.05%
2020/6/30,"1,781.66","1,771.77","1,786.46","1,765.77",,0.53%
2020/7/1,"1,770.32","1,780.91","1,789.27","1,759.02",,-0.64%
2020/7/2,"1,776.13","1,769.60","1,780.21","1,757.85",,0.33%
2020/7/3,"1,775.05","1,774.03","1,777.01","1,772.03",,-0.06%
2020/7/6,"1,783.90","1,776.24","1,786.98","1,770.09",,0.50%
2020/7/7,"1,795.26","1,784.57","1,797.93","1,774.37",,0.64%
2020/7/8,"1,810.78","1,794.93","1,818.37","1,791.82",,0.86%
2020/7/9,"1,803.19","1,810.68","1,815.99","1,795.76",,-0.42%
2020/7/10,"1,798.89","1,801.71","1,810.94","1,794.47",,-0.24%
2020/7/13,"1,803.39","1,798.69","1,813.65","1,797.94",,0.25%
2020/7/14,"1,807.78","1,802.77","1,810.94","1,791.02",,0.24%
2020/7/15,"1,811.90","1,808.14","1,815.00","1,802.91",,0.23%
2020/7/16,"1,797.05","1,811.72","1,813.41","1,795.10",,-0.82%
2020/7/17,"1,809.90","1,797.30","1,812.59","1,795.11",,0.72%
2020/7/20,"1,816.09","1,809.28","1,820.76","1,805.70",,0.34%
2020/7/21,"1,842.22","1,815.53","1,843.75","1,815.44",,1.44%
2020/7/22,"1,872.07","1,841.89","1,872.41","1,840.25",,1.62%
2020/7/23,"1,887.44","1,871.97","1,898.49","1,862.38",,0.82%
2020/7/24,"1,901.46","1,886.83","1,906.47","1,881.58",,0.74%
2020/7/27,"1,942.42","1,899.29","1,945.71","1,899.29",,2.15%
2020/7/28,"1,959.50","1,942.22","1,981.14","1,907.69",,0.88%
2020/7/29,"1,970.73","1,959.71","1,980.67","1,944.96",,0.57%
2020/7/30,"1,960.50","1,970.89","1,972.25","1,940.17",,-0.52%
2020/7/31,"1,975.89","1,960.96","1,981.11","1,955.99",,0.79%
2020/8/3,"1,977.25","1,980.43","1,985.22","1,960.15",,0.07%
2020/8/4,"2,018.52","1,976.45","2,019.96","1,968.38",,2.09%
2020/8/5,"2,040.40","2,018.98","2,056.10","2,010.33",,1.08%
2020/8/6,"2,063.81","2,040.03","2,069.84","2,034.83",,1.15%
2020/8/7,"2,035.03","2,064.52","2,072.90","2,015.48",,-1.39%
2020/8/10,"2,027.77","2,033.71","2,050.10","2,019.42",,-0.36%
2020/8/11,"1,911.64","2,027.11","2,031.59","1,901.57",,-5.73%
2020/8/12,"1,918.07","1,911.26","1,949.26","1,863.92",,0.34%
2020/8/13,"1,954.00","1,920.87","1,966.83","1,913.42",,1.87%
2020/8/14,"1,944.29","1,953.98","1,962.62","1,932.46",,-0.50%
2020/8/17,"1,986.20","1,946.22","1,990.91","1,929.74",,2.16%
2020/8/18,"2,001.20","1,985.47","2,015.23","1,977.56",,0.76%
2020/8/19,"1,929.82","2,001.22","2,006.51","1,924.63",,-3.57%
2020/8/20,"1,943.60","1,929.28","1,955.99","1,925.47",,0.71%
2020/8/21,"1,940.16","1,946.96","1,956.37","1,911.76",,-0.18%
2020/8/24,"1,933.09","1,938.63","1,962.04","1,924.28",,-0.36%
2020/8/25,"1,928.19","1,932.66","1,937.55","1,914.31",,-0.25%
2020/8/26,"1,954.03","1,928.66","1,955.15","1,902.81",,1.34%
2020/8/27,"1,929.20","1,953.35","1,976.32","1,909.96",,-1.27%
2020/8/28,"1,964.89","1,929.44","1,973.81","1,923.71",,1.85%
2020/8/31,"1,970.15","1,965.39","1,976.53","1,954.55",,0.27%
2020/9/1,"1,970.49","1,967.58","1,992.26","1,963.22",,0.02%
2020/9/2,"1,942.98","1,969.71","1,974.41","1,932.75",,-1.40%
